title,date,year,publisher,venue,authors,abstract,validity
An examination of some physiological and anthropometric characteristics of 10-12 year-old soccer players,2022-12-30,2022,Uluslararasi Insan Bilimleri Dergisi,Journal of Human Sciences,"Tarkan Söğüt, Hasan Akkuş","Research aim: This study aimed to examine some physiological and anthropometric characteristics of 10-12 years old soccer players. Method: 20 subjects aged 11.05±0.94, who have been actively participating in Konya Besiktas Football Schools for 3 years, voluntarily participated in the study. These subjects’ body weight, height, body fat percentage, arm span, leg length, bust length, back strength, leg strength, hand grip strength, anaerobic power, maximum oxygen consumption and 30 m sprint test measurements were made. Averages and standard deviations of the measured and calculated values were analysed using the “IBM SPSS Statistics Version v.21” statistical program. Results: As a result of the tests and measurements made, the subjects average body weight was 37.31±7.71 kg, height 147.66±9.25 cm, body fat percentage 17.99±3.92%, arm span 145.4±10,1 cm, leg length 69.62±6.57 cm, bust length 76.51±3.4 cm, back strength 51.95±12.86 kg, leg strength 52.77±14.36 kg, hand grip strength 17.67±5.34 kg, anaerobic power value 46.07±12.22 kgm/sec, maximum oxygen consumption (maxVO2) 44.61±3.23 ml/kg/min, and 30 m sprint test score 5.74±0.32 sec. Discussion and Conclusion: As a result of the literature review, it was determined that children in the same age group have similar physiological and anthropometric characteristics.",1
"The effect of eye-foot coordination, leg muscle strength and mental skills on the shooting skills of bangka football school athletes",2022-12-30,2022,Universitas Negeri Jakarta,Gladi : Jurnal Ilmu Keolahragaan,"Yunita Yunita, Aan Wasan, Susilo Susilo, Widiastuti Widiastuti, Juriana Juriana, Kurnia Tahki, Muchtar Hendra Hasibuan","This study aims to determine the effect of eye-foot coordination, leg muscle strength, and mental skills on the shooting skills of Bangka Football School athletes. The research method used is an associative quantitative approach with non-test techniques, while the analysis technique uses a path analysis approach. This research was conducted at SSB Selindung 89, Bangka, aged 9-12 years, totaling 36 people. To measure shooting skills, use a ball shooting skill test which is placed at a point 8 m in front of the goal/target. Test your eye-foot coordination by kicking the ball against a wall or the Threebox Wall Soccer Test. Test leg muscle strength using a leg dynamometer with three trials. While the mental skills test uses a questionnaire. Conclusions from the results of the study 1) Eye-foot coordination has a direct effect on shooting skills by 34.1%. 2) Leg muscle strength has a direct effect on shooting skills by 45.3%. 3) Mental skills directly affect shooting skills by 35.4%. 4) Eye-foot coordination has a direct effect on mental skills by 23.5%. 5) Leg muscle strength has a direct effect on mental skills by 44.8%. 6) Eye-foot coordination has an indirect effect on shooting skills of athletes through mental skills of 50.7%. 7) Leg muscle strength has an indirect effect on athletes' shooting skills through mental skills of 43.8%.&#x0D; &#x0D; Keywords: Eye-Foot Coordination, Leg Muscles, Mental Skills, Shooting",1
A 6-Week Nine-Square Exercise Programme for Collegiate Athletes with Chronic Ankle Instability: A Randomised Controlled Trial,2022-12-22,2022,Penerbit Universiti Sains Malaysia,Malaysian Journal of Medical Sciences,"Kanok-On Thanasootr, Torkamol Hunsawong, Uraiwan Chatchawan, Wantana Siritaratiwat","Background: Individuals with chronic ankle instability (CAI) have poor postural stability, functional limitations and low quality of life. Although nine-square exercise can improve postural control, there is limited evidence demonstrating whether it can function as an alternative CAI rehabilitation programme. This study aimed to determine the effects of nine-square exercise on postural stability and self-reported outcomes in individuals with CAI. Methods: Eighteen male collegiate athletes with CAI participated in either a 6-week nine-square exercise or a control group (n = 9 per group). At baseline and post-intervention, the participants undertook clinical tests to measures dynamic and static postural control, and self- reported outcomes regarding ankle stability and function. Results: Within-group differences, the nine-square exercise group experienced improved dynamic postural control (P = 0.004), static postural control (P = 0.001) and self-reported outcomes (P &lt; 0.05). For the control group, only static postural control improved (P = 0.018). Post- intervention, the nine-square exercise group experienced significant improvements in dynamic postural control (P &lt; 0.001), ankle stability (P = 0.002) and functional ability (P &lt; 0.05) relative to the control group. Conclusion: These findings suggest that the nine-square exercise can offer an alternative rehabilitation programme for improving postural control, self-perceived ankle stability and functional ability in CAI.",1
"Estimating Ground Reaction Forces from Two-Dimensional Pose Data: A Biomechanics-Based Comparison of AlphaPose, BlazePose, and OpenPose",2022-12-21,2022,MDPI AG,Sensors,"Marion Mundt, Zachery Born, Molly Goldacre, Jacqueline Alderson","The adoption of computer vision pose estimation approaches, used to identify keypoint locations which are intended to reflect the necessary anatomical landmarks relied upon by biomechanists for musculoskeletal modelling, has gained increasing traction in recent years. This uptake has been further accelerated by keypoint use as inputs into machine learning models used to estimate biomechanical parameters such as ground reaction forces (GRFs) in the absence of instrumentation required for direct measurement. This study first aimed to investigate the keypoint detection rate of three open-source pose estimation models (AlphaPose, BlazePose, and OpenPose) across varying movements, camera views, and trial lengths. Second, this study aimed to assess the suitability and interchangeability of keypoints detected by each pose estimation model when used as inputs into machine learning models for the estimation of GRFs. The keypoint detection rate of BlazePose was distinctly lower than that of AlphaPose and OpenPose. All pose estimation models achieved a high keypoint detection rate at the centre of an image frame and a lower detection rate in the true sagittal plane camera field of view, compared with slightly anteriorly or posteriorly located quasi-sagittal plane camera views. The three-dimensional ground reaction force, instantaneous loading rate, and peak force for running could be estimated using the keypoints of all three pose estimation models. However, only AlphaPose and OpenPose keypoints could be used interchangeably with a machine learning model trained to estimate GRFs based on AlphaPose keypoints resulting in a high estimation accuracy when OpenPose keypoints were used as inputs and vice versa. The findings of this study highlight the need for further evaluation of computer vision-based pose estimation models for application in biomechanical human modelling, and the limitations of machine learning-based GRF estimation models that rely on 2D keypoints. This is of particular relevance given that machine learning models informing athlete monitoring guidelines are being developed for application related to athlete well-being.",1
Sport-related concussion attitudes and knowledge in elite English female footballers,2022-12-21,2022,Informa UK Limited,Science and Medicine in Football,"Andrew Shafik, Pippa Bennett, Craig Rosenbloom, Katrine Okholm Kryger, Sean Carmody, Jonathan Power",Background Sport-related concussions (SRC) are more common and more severe in women's football than men's yet the knowledge and attitudes of SRC in the women's game are not well understood. The objective of this study was to assess the SRC knowledge and attitude in elite female footballers.Methods An online questionnaire was sent to all registered players in the English Football Association Women's Super League (WSL) and Championship. Respondents completed an amended version of the Rosenbaum Concussion Knowledge and Attitudes Survey (RoCKAS). Concussion Knowledge Index (CKI) and Concussion Attitudes Index (CAI) scores were derived for all respondents.Results One hundred and twenty-three players completed the survey with 111 fitting the inclusion criteria. The mean CKI score was 20.5 ± 2.3 and the mean CAI score was 63.3 ± 6.3. A weak positive correlation was shown between the CKI and CAI (r = 0.20; p = 0.03). Previous concussion education had a significant impact on increased knowledge (U = 1198; p = 0.04). There was no significant difference in concussion attitudes and knowledge between the WSL and Championship or in those with a previous concussion history and no previous concussion (p > 0.05).Conclusion Previous SRC education demonstrated an increased knowledge around concussion but a limited impact towards concussion attitudes. It is suggested that concussion education should be mandated across the professional game to enhance player welfare.,1
Physiotherapy Rehabilitation Management on Phase I of Post Operative Anterior Cruciate Ligament Reconstruction: A Case Report,2022-12-30,2022,"DiscoverSys, Inc.",Indonesia Journal of Biomedical Science,"I Putu Gde Surya Adhitya, Ari Wibawa, Abdurrasyid, I Gusti Ngurah Wien Aryana, Muhammad Adrian Putra Rachman, Ni Luh Veni Rahayu, Ni Komang Mega Junianti, Emily Devina Kartawijaya, Tabita Febyola Wijaya","Background: An anterior cruciate ligament reconstruction (ACLR) phase I is critical for the patient to improve knee pain and range of motion (ROM), knee functions, and prevent excessive inflammation and muscle atrophy. This study aims to evaluate the physiotherapy interventions to improve the pain, ROM, muscle atrophy, and knee function following ACLR phase I. Case Description: In July 2022, a 22-year-old female basketball athlete injured her right knee while running-pivoting movement during practice. The patient received ACLR on September 22, 2022, following an MRI and physiotherapy examinations. On October 14, 2022, the patient began receiving three times physiotherapy programs weekly. Until November 11, 2022, she complained of having trouble bending and straightening her knee. Although there was no increment in leg muscle circumference of 20 cm above the right patella (RP), there were increments in muscle circumferences of 1.3 cm at 10 cm above the RP, 1.1 cm at 5 cm above the RP, 1.2 cm at 10 cm below the RP, and 1.5 cm at 20 cm below the RP. After three times interventions, we found changes 5o of knee flexion, 2 points of tenderness VAS, 5-28 points of KOOS score, and 10 points of Lysholm’s score. Conclusion: The physiotherapy interventions improved the pain, ROM, leg muscle circumference, and knee function in the ACLR phase I patient. This case report study could be a reference for further experimental study.",1
"Sports-related concussion: assessing the comprehension, collaboration, and contribution of chiropractors",2022-12-27,2022,Springer Science and Business Media LLC,Chiropractic &amp; Manual Therapies,"Nicholas Shannon, Jon Patricios","Over the last 2 decades, sports-related concussion (SRC) awareness and management have evolved from an emphasis on complete cognitive and physical rest to evidence-based protocols and interventions. Chiropractors are primary care providers with exposure to athletes and teams in collision sports and, in addition, manage patients with concussion-like symptoms including neck pain, dizziness, and headache. With SRC frequently occurring in the absence of a medical practitioner, the role of allied health practitioners like chiropractors should be emphasised when it comes to the recognition, assessment, and management of SRC. This commentary discusses the potential contribution of chiropractors in SRC and the specific role their expertise in the cervical spine may play in symptom evaluation and management. A PubMed and Google scholar review of the chiropractic SRC literature suggests that the chiropractic profession appears under-represented in concussion research in athletic populations compared to other medical and allied health fields. This includes an absence of chiropractic clinicians with a focus on SRC participating in the Concussion in Sport Group (CISG) and the International Consensus Conferences on Concussion. Furthermore, with evolving evidence suggesting the importance of cervicogenic manifestations in SRC, there is an opportunity for chiropractors to participate in SRC diagnosis and management more fully and contribute scientifically to an area of specialised knowledge and training. With a dearth of chiropractic orientated SRC science, clinical SRC expertise, and clinical chiropractic representation in the CISG; it is incumbent on chiropractic clinicians and scientists to take up this opportunity through meaningful contribution and involvement in the SRC field.",1
Plantar Fascia Lateral Fascicle Rupture: How Severe Can It Be?,2022-12-27,2022,Springer Science and Business Media LLC,Cureus,"Miguel De Castro Correia, Tiago Rodrigues Lopes","The plantar fascia is a thick and strong group of longitudinal and transverse bands of collagen-rich tissue, consisting of central, medial, and lateral fascicles. Biomechanically, the central fascicle assumes a special role in medial longitudinal foot arch preservation. However, there is scarce data on plantar fascia medial and lateral fascicles' anatomy and pathology in the literature. We report the case of a 27-year-old male professional soccer player who presented with sudden-onset, severe lateral right rearfoot pain that had started while doing linear sprinting practice. The athlete had no relevant medical history and no history of previous right foot injuries. The radiographic study of the right foot revealed no significant changes. MRI showed a high T2 signal partially interrupting the plantar fascia lateral fascicle low signal, consistent with a lateral fascicle rupture. The rehabilitation program was initiated and included pharmacological and non-pharmacological management. He experienced an extremely favorable evolution of his condition with the absence of pain and partial weight bearing in less than one week, with a full return to sports in approximately two weeks. During dynamic foot movement, the lateral fascicle seems to be less biomechanically recruited compared to the central one; however, the strain is not negligible and might be the reason for the pathology. Still, this slightly decreased strain might explain this injury's faster healing time compared to that associated with the central fascicle. Regarding the risk factors for plantar fascia ruptures, it should be kept in mind that a tear might occur even in their absence. We intend to raise awareness about the existence of plantar fascia lateral fascicle and the possibility of associated pathology, either acute or chronic. Hopefully, in the near future, plantar fascia ruptures will get significantly more attention in the literature, enabling the creation of proper management guidelines.",1
Sport and non-specific low back pain in athletes: a scoping review,2022-12-23,2022,Springer Science and Business Media LLC,"BMC Sports Science, Medicine and Rehabilitation","Fulvio Dal Farra, Federico Arippa, Giuseppe Carta, Marco Segreto, Elisa Porcu, Marco Monticone","The contribution of sport in non-specific low back pain (NS-LBP) remains unknown, due to a large heterogeneity in the methods applied in research. The aims of this scoping review (ScR) were to systematically map and summarize findings concerning studies reporting data on NS-LBP among athletes.This ScR was developed referring to the 2020 version of the ""Joanna Briggs Institute Methodological Guidance"" and the Preferred Reporting Items for Systematic Reviews and Meta-Analyses for Scoping Reviews. Five medical databases (Pubmed, Cochrane, Central, Embase, Pedro and Scopus) were searched up to November 2021. No limitations in terms of study design and language were applied. Results were presented numerically and thematically.A total of 4061 records were identified through the initial search; 114 articles met the inclusion criteria. Publications have increased over the years, since 1990. Most of the studies were conducted in the USA (17.5%), even if most research was conducted in Europe (53.5%). Analytic observational (42%) and cross-sectional studies (37%) were the most used designs, followed by case reports (12%) and systematic reviews (9%). Boating (7%), football, soccer, volleyball, running and gymnastics (4.4% each) were the most investigated, although the majority of the studies considered sports in general (36.8%). The overall sample size median was 181, mean age 22 ± 10.2; 68% of athletes were professional and 32% amateur. Most of the studies (38%) did not detail the frequency of training. Sport was reported as a risk factor for developing NS-LBP in 67.5% of cases, especially in those studies which assessed activities implying high or repeated loading on the spine.This is the first ScR to provide a comprehensive overview on this topic. The increased number of publications on the association between sport practice and NS-LBP demonstrates a growing interest over the years on this topic. Some sport activities seem to be more involved than others in LBP development; however, research methods are extremely varied, thus more standardized observational research may focus on specific disciplines to properly contribute to research and clinical practice.",1
Hamstring Rehabilitation Scholarship,2022-12-23,2022,International Universities Strength and Conditioning Association,International Journal of Strength and Conditioning,"Andrew Benton, David Benton","Hamstring injuries are one of the most common lower limb injuries found in sport and this study illustrates the utility of bibliometric analysis in examining a topic from a strength and conditioning coach perspective.&#x0D; &#x0D; This study identifies key areas of scholarship relating to the rehabilitation of hamstring injury among athletes and compares this with the total corpus of literature on the topic. A range of bibliometric measures are used that entail multi-dimensional scaling to identify clusters of related themes, authors, countries, and journals central to the evolution of the evidential-base.&#x0D; &#x0D; A corpus of 2439 articles on hamstring rehabilitation were retrieved and of these 815 papers relating to hamstring rehabilitation and athletes. Indexed research on the topic commenced in the early 1980s and has expanded at an exponential rate since then. Key authors (Dr J.I. Tol and Dr D.A. OPAR) and prolific countries (USA, Australia, and UK) have been identified. Examination of journal sources reveals that scholarship on this topic conforms to Bradford’s law of scattering and a total of 7 journals forms the core of published work in this space - British Journal of Sports Medicine; American Journal of Sports Medicine; Scandinavian Journal of Medicine and Science in Sport; Sports Medicine; Journal of Orthopaedic and Sports Physical Therapy; and Medicine and Science in Sports and Exercise. &#x0D; &#x0D; This study demonstrates the utility of bibliometric analysis in identifying areas of significant importance to strength and conditioning coaches, documents prolific authors, and highlights countries that dominate knowledge development. Neophyte practitioners can use these findings to seek out collaborative partners, pursue under-researched areas of inquiry and target their work for publication at relevant journals adding to the evidential-base.",1
