title,date,publisher,venue,authors,abstract,요약
Groin Injuries in Soccer: Investigating the Effect of Age on Adductor Muscle Forces,2019-12-31,,,,"ABSTRACT Purpose The sudden rise in the injury incidence during adolescence is also evident in soccer-related injuries to the groin. Submaximal passing applies high stress on the adductor muscles and pubic symphysis and is therefore likely to be connected to the occurrence of groin injuries. Therefore, the purpose of the study was to compare hip joint kinematics and adductor muscle forces of different adolescent age groups during submaximal soccer passing. Methods Sixty participants, in four groups, younger than 12, 15, 16. and 23 yr (U12, U15, U16, U23), were analyzed. A Footbonaut, equipped with a 3D motion capture system consisting of 16 cameras, was used to capture kinematic data of short passes. Inverse dynamic analysis was performed to calculate muscle forces of 10 passes of each subject. Results The U15 group showed reduced angular velocities. A rise in hip adductor muscle forces was evident from the youngest group up to the oldest groups. The largest increase (49%) was found between U12 and U15. Lower-limb mass was identified as the best predictor for the increasing adductor force. Conclusions The reduced angular velocities of the U15 and the increase in muscle forces between all age groups were attributed to the increasing segment masses and length. This increases the moments of inertia of the leg segments thereby demanding higher forces to accelerate the segments. Most likely, the stress put upon the adductors apophyses increases during adolescence, as tendons are known to adapt slower than muscles, increasing the risk for overuse injuries. Coaches could use lower-limb mass as an indicator for fast increases in the force demand to identify players who would benefit from a reduced training volume.","This paper investigates the impact of age on adductor muscle forces and hip joint kinematics during submaximal soccer passing, highlighting the increased incidence of groin injuries in adolescents. The study finds that younger players exhibit reduced angular velocities, while adductor muscle forces rise significantly from the U12 to U15 age groups, suggesting a greater risk of overuse injuries due to slower tendon adaptation compared to muscle growth."
FUTBOLCULARDA 8 HAFTALIK STATİK GERME ANTRENMANLARININ SIÇRAMA PERFORMANSINA ETKİLERİ,2019-12-30,,,,"The aim of this study was to investigate the effects of eight weeks static stretching traning on jumping. 18 male amateur soccer players (age:21,78±4,25 year; height: 180,11±6,38 cm; weight: 76,19±7,73) were voluntarily participated to study. Subjects were randomly diverted into two groups as stretching (n=10) and control (n=8). Flexibility, horizontal jump distance and vertical jump length were determined using Sit and Reach Test, Standing Long Jump Test and Countermovement Jump technique respectively. Following pre test, stretching group performed static stretching programme three days a week for eight weeks which consisting of ten static stretches that were designed to improve subjects flexibility and include jumping muscles. Following eight weeks static stretching programme, similar measurements were completed. In order to analyze gathering datas, Paired t test was used for determination of intragroups differences and İndependent t test was used for determination of intergroups differences.(p<0.05) There were statistically significant differences between pre and post test flexibiliy measurements (30,60±4,78; 33,90±3,14 cm) and horizontal jump distance (206,38±19,93; 210,25±19,47 cm ) for stretching groups (p<0,05). Yet, there were no statistical differences between groups comparison (p>0,05) To conclude, performed long-term stretching programmes could effect positively on jumping in amateur soccer players. However this study couldnt explore the underlying mechanism of how this effect occured. Future researches about long-term static stretching effects on maximal muscular performances will warranted to illustrate exact physiologicals and metabolics mechanism for those effects.","This study examines the impact of an eight-week static stretching program on the jumping performance of male amateur soccer players. The findings indicate significant improvements in flexibility and horizontal jump distance within the stretching group, though no differences were observed when comparing the stretching group to the control, highlighting a potential positive effect of static stretching on jump performance."
Ventilatory responses to aerobic endurance fitness and running economy in footballers; are there any differences between players’ positions,2019-12-21,,,,"Running economy is one of the factors contributing running performance. The athlete who use oxygen more economically is more successful. Currently, there is no research on this topic in Azerbaijan. Azerbaijani athletes have not been investigated on running economy before, so this will be the first research in this field in the country. By the end of this research more economical position on the pitch and comparison National Football Players with elite athletes has been identified.","This paper investigates the ventilatory responses related to aerobic endurance fitness and running economy among football players, focusing on position-specific differences. It highlights the novelty of studying running economy in Azerbaijani athletes and aims to identify which player positions demonstrate more economical running performance compared to elite counterparts."
Biomechanical Determinants of the Modified and Traditional 505 Change of Direction Speed Test,2019-12-20,,,,"Abstract Dos'Santos, T, McBurnie, A, Thomas, C, Comfort, P, and Jones, PA. Biomechanical determinants of the modified and traditional 505 change of direction speed test. J Strength Cond Res 34(5): 1285–1296, 2020—The aim of this study was to investigate the whole-body biomechanical determinants of 180° change of direction (COD) performance. Sixty-one male athletes (age: 20.7 ± 3.8 years, height: 1.77 ± 0.06 m, mass: 74.7 ± 10.0 kg) from multiple sports (soccer, rugby, and cricket) completed 6 trials of the modified and traditional 505 on their right leg, whereby 3D motion and ground reaction force data were collected during the COD. Pearson's and Spearman's correlations were used to explore the relationships between biomechanical variables and COD completion time. Independent t -tests and Hedges' g effect sizes were conducted between faster (top 20) and slower (bottom 20) performers to explore differences in biomechanical variables. Key kinetic and kinematic differences were demonstrated between faster and slower performers with statistically significant ( p ≤ 0.05) and meaningful differences ( g = 0.56–2.70) observed. Faster COD performers displayed greater peak and mean horizontal propulsive forces (PF) in shorter ground contact times, more horizontally orientated peak resultant braking and PFs, greater horizontal to vertical mean and peak braking and PF ratios, greater approach velocities, and displayed greater reductions in velocity over key instances of the COD. In addition, faster performers displayed greater penultimate foot contact (PFC) hip, knee, and ankle dorsi-flexion angles, greater medial trunk lean, and greater internal pelvic and foot rotation. These aforementioned variables were also moderately to very largely ( r or ρ = 0.317–0.795, p ≤ 0.013) associated with faster COD performance. Consequently, practitioners should focus not only on developing their athletes' ability to express force rapidly, but also develop their technical ability to apply force horizontally. In addition, practitioners should consider coaching a 180° turning strategy that emphasizes high PFC triple flexion for center of mass lowering while also encouraging whole-body rotation to effectively align the body toward the exit for faster performance.","This paper investigates the biomechanical factors affecting 180° change of direction (COD) performance in male athletes from various sports, comparing the modified and traditional 505 tests. Key findings indicate that faster performers exhibit superior kinetic and kinematic characteristics, such as increased horizontal propulsive forces and optimized limb positioning, which highlight the importance of both force expression and technical execution in enhancing COD speed."
"Place, Ecological Dynamics and Football",2019-12-17,,,,"In this review article, I will use the phenomenology of place and read it alongside ecological dynamics theories (EDT) in sport. I will show the many congruences between these two areas of research and use place to support, supplement and show the phenomenological and ontological foundations of ecological dynamics analysis in sports. I show that the findings and principles used in ecological dynamics can be better understood through the work of Australian place phenomenologist Jeff Malpas. Through this relationship between phenomenological philosophy and ecological dynamics theory, I hope to establish a stronger connection between these two diverging fields of research (phenomenological ontology and sport science). Throughout this article, I demonstrate that an understanding of place can provide a widened and phenomenological basis for the understanding of EDT of sport including affordances, constraints, expertise and learning. Specifically, I use the first-person perspective of the phenomenology of place to illustrate a perspective that ecological dynamics theories do not have access due to the nature of their method. As a result, this article augments both the philosophy of place and ecological dynamics theories of sport by orientating them to different views on the same phenomena. Place benefits by being practically applied to sport sciences whereas ecological dynamics benefits by unveiling a new phenomenological perspective, description and ontological grounding to their object of study.","This paper reviews the intersection of place phenomenology and ecological dynamics theories (EDT) in sport, specifically football. It argues that understanding place can enhance the application and insights of EDT by providing a phenomenological basis for concepts such as affordances, constraints, expertise, and learning, thereby bridging the gap between phenomenological ontology and sport science."
The effect of sports shoes on flat foot,2019-12-14,,,,"Objective: This study was conducted to determine the effects of participation in sports on the structural deformities of the foot. Methods: A total of 2013 athletes (1301 males, 712 females) who had regularly participated in sports for a minimum of three years were included in the study. Screening of the sole was performed using a podoscope as it is a reliable and practical device. The structure of the sole was evaluated with the highly valid Staheli index. Results: A significant relationship was detected between the ages of the athletes, years in sport, branch of sports variables and the prevalence of flat foot. However, no significant relationship was found between the athletes’ gender and the prevalence of flat foot. Conclusion: It is thought that the training regimes, the floor on which the sports is performed and the shoes used in sports had effects on flat foot deformity. Based on our results, we assert that redesigning the competition shoes and using sports shoes with arch support during warm-ups, running and other sportive and educational drills outside the routine activities of the sports branch may be beneficial for foot health.","This study investigates the influence of sports participation on foot structural deformities, specifically focusing on flat foot prevalence among athletes. It identifies significant correlations between athlete age, duration of sports participation, and their sport type, while suggesting redesigning athletic footwear to include arch support for improved foot health."
"The Physiological, Physical, and Biomechanical Demands of Walking Football: Implications for Exercise Prescription and Future Research in Older Adults",2019-12-11,,,,"The aim of this investigation was to profile the physiological, physical, and biomechanical responses during walking football. A total of 17 male participants (aged 66 ± 6 years) participated. Heart rate; blood lactate; accelerometer variables (biomechanical load [PlayerLoad™], changes of direction); and rating of perceived exertion were measured. Participants mean percentage of maximum heart rate was 76 ± 6% during the sessions, with rating of perceived exertion across all sessions at 13 ± 2. Blood lactate increased by ∼157% from presession (1.24 ± 0.4 mmol/L) to postsession (3.19 ± 1.7 mmol/L; p ≤ .0005). PlayerLoad™ values of 353 ± 67 arbitrary units were observed, as well as ∼100 changes of direction per session. In conclusion, walking football is a moderate- to vigorous-intensity activity. The longitudinal health benefits of walking football remain to be elucidated, particularly on bone health, cardiovascular fitness, and social and mental well-being.","This paper investigates the physiological, physical, and biomechanical responses of older adults participating in walking football, highlighting heart rate, blood lactate levels, and physical exertion metrics. The findings suggest that walking football is a moderate- to vigorous-intensity activity, with implications for exercise prescription and further research on its long-term health benefits."
BDNF Val66Met Positive Players Demonstrate Diffusion Tensor Imaging Consistent With Impaired Myelination Associated With High Levels of Soccer Heading: Indication of a Potential Gene-Environment Interaction Mechanism,2019-12-11,,,,"The purpose of this study was to examine the potential effect modifying role of the BDNF Val66Met polymorphism on the association of soccer heading with white matter microstructure. We studied 312 players enrolled in the ongoing Einstein Soccer Study, a longitudinal study of amateur soccer player in New York City and surrounding areas. At enrollment and two years later, total heading in the prior 12 months (12-mo.) was estimated using an established self-report instrument and diffusion tensor imaging (DTI) was performed. Generalized Estimating Equations (GEE) logistic regression models were employed to test effect modification by the BDNF Val66Met polymorphism on the association between 12-mo. heading exposure and DTI. We identified a significant interaction of 12-mo heading*BDNF Val66Met genotype on the presence of low Radial Diffusivity, a DTI marker associated with myelination. Only Met (+) players demonstrated significantly reduced odds of low RD (OR (95 % CI): -2.36 (-3.53, -1.19)) associated with the highest vs. lowest quartile of 12-mo heading exposure. BDNF Val66Met (+) soccer players with long-term exposure to high levels of heading exhibit less low Radial Diffusivity, suggesting impaired re-myelination may be a substrate of the previously reported association between heading and poor functional outcomes in soccer players.","The paper investigates the influence of the BDNF Val66Met genetic polymorphism on the relationship between soccer heading and white matter microstructure in amateur players. Findings indicate that players with the Met(+) genotype exposed to high levels of heading show reduced odds of impaired myelination, suggesting a gene-environment interaction that may contribute to adverse functional outcomes in soccer."
Morphofunctional characteristics of amputee soccer players of the Mexican league,2019-12-06,,,,"Objective:The objective of the study was to describe the anthropometric characteristics of a Mexican amputee soccer team, for data reference and categorization of these athletes.Materials and methods: Thirteen players of the amputee ""Tigres"" soccer team participated in the study.Measurements of body mass index (BMI), height, and body composition were made using plicometry in 6 skinfolds, which were performed on the opposite side of the amputation.Somatotype components were calculated with the Heath and Carter method, obtaining the three components of the somatotype (endomorphy, mesomorphy, and ectomorphy) with regression equations.Results: The means of the variables of the studied players were age: 27.5 (16-43) years, weight: 68.9 (47.7-86.7)kg, height: 172.2 (1.65-1.81),and BMI: 23.23 (16-28.7)kg/m 2 .The most predominant somatotype found was mesoendomorphic.Conclusions: Through these results, we can provide adequate nutritional orientation and improve the type and training loads of the team, with the intention of enhancing their sports aptness.","This paper investigates the anthropometric characteristics of the Mexican amputee soccer team, ""Tigres,"" focusing on dimensions such as body mass index, height, and body composition using plicometry and somatotype analysis. The findings reveal a predominant mesoendomorphic somatotype among players, which can guide nutritional and training interventions to enhance their athletic performance."
The Effects of Lower-Extremity Plyometric Training on Soccer-Specific Outcomes in Adult Male Soccer Players: A Systematic Review and Meta-Analysis,2019-12-05,,,,"Plyometric training is a specific form of strength training that is used to improve the physical performance of athletes. An overview of the effects of plyometric training on soccer-specific outcomes in adult male soccer players is not available yet.To systematically review and meta-analyze the effects of plyometric training on soccer-specific outcome measures in adult male soccer players and to identify which programs are most effective.PubMed, Embase/Medline, Cochrane, PEDro, and Scopus were searched. Extensive quality and risk of bias assessments were performed using the Cochrane ROBINS 2.0 for randomized trials. A random effects meta-analysis was performed using Cochrane Review Manager 5.3.Seventeen randomized trials were included in the meta-analysis. The impact of plyometric training on strength, jump height, sprint speed, agility, and endurance was assessed. Only jump height, 20-m sprint speed, and endurance were significantly improved by plyometric training in soccer players. Results of the risk of bias assessment of the included studies resulted in overall scores of some concerns for risk of bias and high risk of bias.This review and meta-analysis showed that plyometric training improved jump height, 20-m sprint speed, and endurance, but not strength, sprint speed over other distances, or agility in male adult soccer players. However, the low quality of the included studies and substantial heterogeneity means that results need to be interpreted with caution. Future high-quality research should indicate whether or not plyometric training can be used to improve soccer-specific outcomes and thereby enhance performance.","This paper systematically reviews and meta-analyzes the effects of lower-extremity plyometric training on soccer-specific outcomes in adult male soccer players. The findings indicate that such training significantly improves jump height, 20-meter sprint speed, and endurance, although the studies included exhibit concerns regarding quality and bias, warranting cautious interpretation of the results."
